;Sex;Age;WeightClassKg;BodyweightKg;TotalKg;Wilks
661379;M;22,0;"[53,20000076293945, 63,400001525878906)";57,6;577,5;511,63
662561;M;40,0;"[73,5999984741211, 83,80000305175781)";72,0;590,0;432,89
663158;M;20,5;"[73,5999984741211, 83,80000305175781)";72,3;537,5;393,16
663358;M;20,5;"[73,5999984741211, 83,80000305175781)";80,5;445,0;302,62
664702;M;31,5;"[83,80000305175781, 94,0)";89,8;655,0;418,62
665343;M;22,5;"[114,4000015258789, 124,5999984741211)";117,2;682,5;394,63
665985;F;18,0;"[83,80000305175781, 94,0)";83,1;381,0;341,61
666235;F;49,5;"[63,400001525878906, 73,5999984741211)";66,7;332,5;342,29
666249;F;17,5;"[53,20000076293945, 63,400001525878906)";55,9;402,5;474,25
668617;M;39,5;"[114,4000015258789, 124,5999984741211)";110,0;582,5;342,8
668851;M;20,5;"[83,80000305175781, 94,0)";89,9;785,0;501,42
668868;M;19,5;"[53,20000076293945, 63,400001525878906)";57,4;365,0;324,44
669581;F;43,5;"[53,20000076293945, 63,400001525878906)";53,7;280,0;340,44
670126;M;18,5;"[73,5999984741211, 83,80000305175781)";82,1;772,5;519,02
670173;M;22,5;"[83,80000305175781, 94,0)";90,8;767,5;487,79
670276;F;20,5;"[43,0, 53,20000076293945)";46,7;365,0;493,15
670277;F;21,5;"[43,0, 53,20000076293945)";46,7;345,0;466,13
670380;F;22,0;"[83,80000305175781, 94,0)";83,7;586,0;523,5
672253;F;19,5;"[53,20000076293945, 63,400001525878906)";60,1;462,5;514,97
672468;M;19,5;"[63,400001525878906, 73,5999984741211)";65,8;340,2;267,79
673515;M;39,5;"[104,19999694824219, 114,4000015258789)";104,4;747,5;447,58
673697;M;22,5;"[73,5999984741211, 83,80000305175781)";82,7;765,0;511,74
673718;M;22,5;"[73,5999984741211, 83,80000305175781)";71,6;460,0;338,9
673780;F;21,0;"[43,0, 53,20000076293945)";46,8;285,0;384,47
673837;F;11,0;"[43,0, 53,20000076293945)";40,6;142,5;211,03
674162;F;15,0;"[53,20000076293945, 63,400001525878906)";54,7;267,5;320,59
674503;M;27,5;"[114,4000015258789, 124,5999984741211)";115,6;610,0;353,95
674949;M;29,0;"[104,19999694824219, 114,4000015258789)";103,4;870,0;522,74
675306;M;39,0;"[104,19999694824219, 114,4000015258789)";104,0;740,0;443,7
675708;F;64,5;"[63,400001525878906, 73,5999984741211)";69,2;310,0;310,87
676080;M;46,5;"[73,5999984741211, 83,80000305175781)";83,0;610,0;407,17
677544;M;17,5;"[53,20000076293945, 63,400001525878906)";59,6;460,4;395,08
677561;M;16,5;"[63,400001525878906, 73,5999984741211)";65,54;496,7;392,26
677714;F;18,5;"[53,20000076293945, 63,400001525878906)";55,38;462,7;549,19
678501;M;17,5;"[114,4000015258789, 124,5999984741211)";118,4;732,5;422,47
680642;M;22,5;"[83,80000305175781, 94,0)";89,6;635,0;406,3
681832;M;23,5;"[104,19999694824219, 114,4000015258789)";95,2;755,0;469,19
681840;M;23,5;"[104,19999694824219, 114,4000015258789)";95,2;755,0;469,19
682494;M;38,5;"[114,4000015258789, 124,5999984741211)";119,8;760,0;437,11
682696;M;19,5;"[83,80000305175781, 94,0)";92,1;700,0;441,79
682781;F;21,5;"[63,400001525878906, 73,5999984741211)";66,1;375,0;388,58
683576;M;41,0;"[83,80000305175781, 94,0)";92,6;707,5;445,36
683667;M;27,5;"[73,5999984741211, 83,80000305175781)";81,5;552,5;372,86
684485;M;39,5;"[83,80000305175781, 94,0)";92,06;635,0;400,85
685098;M;26,5;"[73,5999984741211, 83,80000305175781)";78,8;540,0;372,23
685369;F;30,0;"[63,400001525878906, 73,5999984741211)";68,8;332,5;334,79
685520;F;25,0;"[53,20000076293945, 63,400001525878906)";56,9;375,0;435,75
685531;M;31,0;"[53,20000076293945, 63,400001525878906)";58,7;557,5;485,19
685570;F;23,5;"[53,20000076293945, 63,400001525878906)";61,8;270,0;294,24
685602;M;60,5;"[73,5999984741211, 83,80000305175781)";73,7;420,0;302,99
685937;M;43,0;"[83,80000305175781, 94,0)";92,5;715,0;450,31
686294;F;50,5;"[43,0, 53,20000076293945)";50,4;262,5;335,18
686922;M;32,5;"[73,5999984741211, 83,80000305175781)";72,9;692,5;503,5
687620;M;16,5;"[104,19999694824219, 114,4000015258789)";97,0;540,0;332,82
687663;F;16,5;"[43,0, 53,20000076293945)";50,5;225,0;286,87
688528;F;17,0;"[53,20000076293945, 63,400001525878906)";56,2;385,0;451,73
688585;F;53,0;"[83,80000305175781, 94,0)";80,7;400,0;364,25
689134;M;26,5;"[114,4000015258789, 124,5999984741211)";119,1;990,0;570,18
689469;F;52,5;"[53,20000076293945, 63,400001525878906)";55,8;250,0;294,98
690326;M;17,5;"[83,80000305175781, 94,0)";87,6;482,5;312,41
690360;M;66,0;"[83,80000305175781, 94,0)";87,1;510,0;331,23
691299;M;23,0;"[83,80000305175781, 94,0)";92,8;740,0;465,34
691551;F;53,0;"[63,400001525878906, 73,5999984741211)";66,75;260,0;267,51
693048;M;22,5;"[83,80000305175781, 94,0)";92,2;825,0;520,41
693922;M;28,5;"[114,4000015258789, 124,5999984741211)";119,8;637,5;366,65
694211;M;22,5;"[73,5999984741211, 83,80000305175781)";81,5;722,5;487,59
695198;M;22,5;"[63,400001525878906, 73,5999984741211)";65,8;447,5;352,25
695328;M;51,5;"[104,19999694824219, 114,4000015258789)";103,7;625,0;375,14
695364;M;20,5;"[104,19999694824219, 114,4000015258789)";94,2;322,5;201,38
695755;M;61,5;"[83,80000305175781, 94,0)";90,2;500,0;318,84
695954;M;54,5;"[73,5999984741211, 83,80000305175781)";81,8;537,5;361,93
696377;M;17,5;"[63,400001525878906, 73,5999984741211)";64,3;470,0;377,17
697312;M;43,5;"[104,19999694824219, 114,4000015258789)";96,2;562,5;347,94
697690;M;45,0;"[104,19999694824219, 114,4000015258789)";98,5;597,5;365,88
699231;F;57,0;"[63,400001525878906, 73,5999984741211)";64,4;395,0;417,26
699264;F;69,5;"[43,0, 53,20000076293945)";45,96;235,0;321,14
699293;F;40,5;"[43,0, 53,20000076293945)";51,32;345,0;434,47
699360;F;20,5;"[53,20000076293945, 63,400001525878906)";61,92;412,5;448,87
699446;F;24,5;"[63,400001525878906, 73,5999984741211)";66,24;415,0;429,37
699565;F;14,5;"[43,0, 53,20000076293945)";46,03;187,5;255,95
699773;M;39,5;"[83,80000305175781, 94,0)";91,97;642,5;405,78
699788;M;41,5;"[114,4000015258789, 124,5999984741211)";117,9;770,0;444,56
699789;M;41,5;"[114,4000015258789, 124,5999984741211)";118,88;755,0;435,03
699790;M;44,0;"[114,4000015258789, 124,5999984741211)";112,66;720,0;420,73
699863;M;69,5;"[63,400001525878906, 73,5999984741211)";62,4;310,0;255,28
699879;M;31,5;"[63,400001525878906, 73,5999984741211)";65,8;687,5;541,17
699881;M;28,5;"[63,400001525878906, 73,5999984741211)";65,06;653,0;518,87
700151;M;37,0;"[114,4000015258789, 124,5999984741211)";119,33;960,0;552,65
700161;M;26,5;"[114,4000015258789, 124,5999984741211)";118,87;782,5;450,88
700190;M;13,5;"[43,0, 53,20000076293945)";50,73;375,0;377,74
700214;M;15,5;"[73,5999984741211, 83,80000305175781)";74,79;532,5;380,18
701286;F;16,5;"[83,80000305175781, 94,0)";74,5;387,5;369,93
702009;F;42,0;"[63,400001525878906, 73,5999984741211)";65,0;345,0;361,94
702839;M;40,5;"[83,80000305175781, 94,0)";93,0;495,0;310,95
702846;M;40,5;"[83,80000305175781, 94,0)";93,0;495,0;310,95
703127;F;29,5;"[53,20000076293945, 63,400001525878906)";55,65;350,0;413,84
703278;M;52,5;"[73,5999984741211, 83,80000305175781)";82,1;472,5;317,46
704631;M;25,5;"[104,19999694824219, 114,4000015258789)";103,8;600,0;360,0
704986;M;18,5;"[114,4000015258789, 124,5999984741211)";106,6;467,5;277,91
705731;M;25,5;"[83,80000305175781, 94,0)";92,4;510,0;321,37
706334;F;26,5;"[63,400001525878906, 73,5999984741211)";71,6;385,0;377,18
706440;M;34,5;"[114,4000015258789, 124,5999984741211)";115,9;502,5;291,38
706949;M;24,0;"[114,4000015258789, 124,5999984741211)";119,2;1000,0;575,82
707014;F;46,5;"[83,80000305175781, 94,0)";82,4;415,0;373,72
707052;F;21,5;"[53,20000076293945, 63,400001525878906)";61,1;470,0;516,7
707253;F;46,5;"[53,20000076293945, 63,400001525878906)";56,7;362,5;422,39
707981;F;42,0;"[43,0, 53,20000076293945)";51,24;352,5;444,45
708099;M;41,5;"[83,80000305175781, 94,0)";86,1;450,0;294,12
708476;M;21,5;"[73,5999984741211, 83,80000305175781)";82,0;465,0;312,65
708680;F;20,5;"[83,80000305175781, 94,0)";78,8;385,0;355,3
709690;M;23,0;"[53,20000076293945, 63,400001525878906)";59,0;510,0;441,75
709716;M;25,0;"[73,5999984741211, 83,80000305175781)";73,6;470,0;339,38
710294;M;29,5;"[73,5999984741211, 83,80000305175781)";73,4;537,5;388,88
710440;F;27,0;"[53,20000076293945, 63,400001525878906)";62,4;487,5;527,37
711494;M;23,5;"[63,400001525878906, 73,5999984741211)";65,6;610,0;481,38
712156;M;28,5;"[104,19999694824219, 114,4000015258789)";102,9;497,5;299,46
712330;F;19,5;"[53,20000076293945, 63,400001525878906)";61,0;375,0;412,78
712693;M;14,5;"[53,20000076293945, 63,400001525878906)";58,7;360,0;313,31
713468;M;23,5;"[73,5999984741211, 83,80000305175781)";73,2;510,0;369,71
713585;M;26,5;"[73,5999984741211, 83,80000305175781)";73,75;450,0;324,47
713993;M;31,5;"[114,4000015258789, 124,5999984741211)";111,3;732,5;429,55
714470;M;42,0;"[53,20000076293945, 63,400001525878906)";58,12;382,5;336,0
714922;M;45,5;"[83,80000305175781, 94,0)";92,1;542,5;342,39
715402;F;20,5;"[53,20000076293945, 63,400001525878906)";61,4;272,5;298,45
715547;F;66,0;"[63,400001525878906, 73,5999984741211)";70,8;237,5;234,44
715919;M;46,0;"[73,5999984741211, 83,80000305175781)";73,8;590,0;425,21
716019;M;28,5;"[73,5999984741211, 83,80000305175781)";72,4;500,0;365,36
716420;M;22,5;"[53,20000076293945, 63,400001525878906)";58,9;512,5;444,61
717623;M;48,5;"[104,19999694824219, 114,4000015258789)";102,9;572,5;344,6
717833;M;21,5;"[83,80000305175781, 94,0)";89,7;670,0;428,45
718656;M;50,5;"[83,80000305175781, 94,0)";91,6;557,5;352,79
719000;F;58,5;"[53,20000076293945, 63,400001525878906)";61,8;232,5;253,38
720151;M;36,5;"[104,19999694824219, 114,4000015258789)";101,3;407,5;246,74
720450;F;22,5;"[53,20000076293945, 63,400001525878906)";62,8;438,5;472,07
720747;F;30,0;"[53,20000076293945, 63,400001525878906)";62,6;377,5;407,38
720860;F;47,0;"[83,80000305175781, 94,0)";83,8;502,5;448,63
720961;F;19,5;"[53,20000076293945, 63,400001525878906)";61,6;387,5;423,34
721135;M;40,5;"[114,4000015258789, 124,5999984741211)";119,5;807,5;464,7
721149;M;52,5;"[63,400001525878906, 73,5999984741211)";65,0;530,0;421,46
721154;M;51,5;"[73,5999984741211, 83,80000305175781)";70,6;542,5;403,91
721358;M;24,0;"[83,80000305175781, 94,0)";92,0;800,0;505,17
721433;M;26,0;"[104,19999694824219, 114,4000015258789)";105,0;725,0;433,23
722181;F;14,5;"[43,0, 53,20000076293945)";51,4;222,5;279,87
722273;M;56,5;"[73,5999984741211, 83,80000305175781)";82,06;727,5;488,93
722578;F;49,5;"[53,20000076293945, 63,400001525878906)";62,1;445,0;483,17
722646;M;64,0;"[73,5999984741211, 83,80000305175781)";79,4;455,0;312,11
722658;M;69,5;"[73,5999984741211, 83,80000305175781)";73,4;355,0;256,84
722666;M;33,0;"[63,400001525878906, 73,5999984741211)";65,4;677,5;536,0
722704;M;17,5;"[43,0, 53,20000076293945)";52,0;530,0;520,08
723124;M;21,5;"[104,19999694824219, 114,4000015258789)";97,9;505,0;310,03
723291;M;27,5;"[73,5999984741211, 83,80000305175781)";71,2;450,0;332,92
724151;F;26,0;"[53,20000076293945, 63,400001525878906)";56,2;350,0;410,66
724205;M;27,0;"[104,19999694824219, 114,4000015258789)";102,42;837,5;504,99
724671;M;73,0;"[73,5999984741211, 83,80000305175781)";73,9;440,0;316,8
725663;M;46,5;"[63,400001525878906, 73,5999984741211)";65,7;425,0;334,96
725732;M;39,5;"[53,20000076293945, 63,400001525878906)";58,6;385,0;335,6
725780;F;31,5;"[83,80000305175781, 94,0)";83,7;432,5;386,37
726329;M;32,5;"[104,19999694824219, 114,4000015258789)";103,3;675,0;405,72
726508;M;18,0;"[73,5999984741211, 83,80000305175781)";81,3;605,0;408,91
726579;F;25,5;"[63,400001525878906, 73,5999984741211)";68,12;470,0;476,57
727544;M;21,5;"[73,5999984741211, 83,80000305175781)";82,5;712,5;477,31
728458;M;37,5;"[73,5999984741211, 83,80000305175781)";80,3;422,5;287,76
729373;F;27,5;"[53,20000076293945, 63,400001525878906)";62,0;482,5;524,53
729610;M;68,5;"[73,5999984741211, 83,80000305175781)";82,2;470,0;315,55
729741;F;66,5;"[53,20000076293945, 63,400001525878906)";61,7;190,0;207,32
729742;F;73,5;"[43,0, 53,20000076293945)";51,0;166,5;210,69
730899;M;15,5;"[43,0, 53,20000076293945)";51,5;450,0;446,09
732402;M;26,5;"[73,5999984741211, 83,80000305175781)";81,6;727,5;490,6
732767;M;23,5;"[83,80000305175781, 94,0)";93,0;760,0;477,42
732976;M;23,5;"[73,5999984741211, 83,80000305175781)";73,5;540,0;390,31
733008;M;36,0;"[73,5999984741211, 83,80000305175781)";81,4;552,5;373,15
733126;M;19,0;"[104,19999694824219, 114,4000015258789)";97,8;545,0;334,73
733241;F;17,0;"[63,400001525878906, 73,5999984741211)";67,6;422,5;430,76
733316;F;17,0;"[63,400001525878906, 73,5999984741211)";67,6;422,5;430,76
733819;F;18,5;"[63,400001525878906, 73,5999984741211)";69,08;369,7;371,19
733915;M;46,5;"[114,4000015258789, 124,5999984741211)";119,3;620,0;356,94
734156;F;20,5;"[53,20000076293945, 63,400001525878906)";56,2;307,5;360,8
734173;F;59,0;"[63,400001525878906, 73,5999984741211)";68,6;320,0;322,87
734647;M;26,5;"[63,400001525878906, 73,5999984741211)";66,0;430,0;337,63
735363;M;17,0;"[73,5999984741211, 83,80000305175781)";71,6;557,5;410,73
735388;F;61,5;"[43,0, 53,20000076293945)";51,7;277,5;347,49
736203;M;19,5;"[53,20000076293945, 63,400001525878906)";58,98;632,5;548,03
736206;M;20,5;"[53,20000076293945, 63,400001525878906)";58,97;595,0;515,62
736918;F;17,5;"[83,80000305175781, 94,0)";81,0;392,5;356,7
738048;M;15,5;"[83,80000305175781, 94,0)";90,7;535,2;340,34
738989;F;23,0;"[43,0, 53,20000076293945)";49,6;240,0;310,19
740288;M;26,5;"[73,5999984741211, 83,80000305175781)";76,1;570,0;402,11
740655;M;15,5;"[83,80000305175781, 94,0)";86,9;477,5;310,51
740897;M;36,0;"[104,19999694824219, 114,4000015258789)";104,4;525,0;314,35
740898;M;20,0;"[114,4000015258789, 124,5999984741211)";106,4;682,5;405,97
741080;M;16,0;"[53,20000076293945, 63,400001525878906)";58,2;462,5;405,75
741224;F;27,0;"[63,400001525878906, 73,5999984741211)";68,1;310,0;314,4
742523;F;42,5;"[83,80000305175781, 94,0)";74,4;340,0;324,86
742723;F;39,0;"[63,400001525878906, 73,5999984741211)";71,6;352,5;345,34
742805;M;22,5;"[63,400001525878906, 73,5999984741211)";64,6;482,5;385,68
742829;M;23,0;"[83,80000305175781, 94,0)";91,3;665,0;421,49
742855;M;28,5;"[63,400001525878906, 73,5999984741211)";63,4;630,0;511,68
742923;M;27,0;"[83,80000305175781, 94,0)";91,2;750,0;475,63
742933;M;41,5;"[83,80000305175781, 94,0)";85,6;660,0;432,78
742934;M;55,5;"[83,80000305175781, 94,0)";90,9;657,5;417,65
743167;F;40,5;"[53,20000076293945, 63,400001525878906)";55,7;252,5;298,35
743265;F;51,0;"[53,20000076293945, 63,400001525878906)";56,8;325,0;378,17
743287;F;66,5;"[63,400001525878906, 73,5999984741211)";71,2;292,5;287,64
744103;F;61,5;"[53,20000076293945, 63,400001525878906)";56,1;275,0;323,11
744113;F;17,5;"[43,0, 53,20000076293945)";42,62;342,5;492,39
744191;M;20,5;"[83,80000305175781, 94,0)";91,96;877,5;554,22
744200;M;39,0;"[73,5999984741211, 83,80000305175781)";72,49;565,0;412,49
744239;M;65,5;"[114,4000015258789, 124,5999984741211)";118,93;592,5;341,36
744258;M;21,5;"[73,5999984741211, 83,80000305175781)";73,99;712,5;512,56
744269;M;40,5;"[83,80000305175781, 94,0)";92,68;837,5;526,97
744891;F;16,5;"[53,20000076293945, 63,400001525878906)";55,9;365,0;430,06
745201;M;19,5;"[73,5999984741211, 83,80000305175781)";73,0;427,5;310,52
745449;M;43,5;"[73,5999984741211, 83,80000305175781)";73,0;470,0;341,39
746152;M;28,5;"[63,400001525878906, 73,5999984741211)";64,5;535,0;428,2
746275;M;41,0;"[83,80000305175781, 94,0)";87,3;402,5;261,09
746320;M;29,0;"[114,4000015258789, 124,5999984741211)";108,2;540,0;319,44
746805;F;47,0;"[43,0, 53,20000076293945)";52,0;257,5;321,01
747326;F;60,5;"[53,20000076293945, 63,400001525878906)";56,68;277,5;323,43
748570;M;23,5;"[104,19999694824219, 114,4000015258789)";95,7;512,5;317,74
748975;F;50,0;"[53,20000076293945, 63,400001525878906)";56,3;320,0;374,94
748979;F;50,0;"[53,20000076293945, 63,400001525878906)";56,3;320,0;374,94
749009;F;52,0;"[53,20000076293945, 63,400001525878906)";61,3;275,0;301,57
749013;F;68,0;"[53,20000076293945, 63,400001525878906)";59,4;250,0;280,9
749032;F;20,0;"[63,400001525878906, 73,5999984741211)";69,2;320,0;320,9
749346;M;24,0;"[114,4000015258789, 124,5999984741211)";109,7;690,0;406,4
749360;M;26,0;"[114,4000015258789, 124,5999984741211)";106,6;670,0;398,29
749670;M;20,5;"[73,5999984741211, 83,80000305175781)";80,5;445,0;302,62
749719;F;24,5;"[53,20000076293945, 63,400001525878906)";61,85;290,0;315,84
752541;F;22,5;"[43,0, 53,20000076293945)";51,3;495,0;623,56
752792;M;18,5;"[53,20000076293945, 63,400001525878906)";58,5;585,0;510,75
753502;F;14,5;"[53,20000076293945, 63,400001525878906)";54,2;397,5;479,82
756195;M;45,5;"[73,5999984741211, 83,80000305175781)";82,0;590,0;396,69
756746;M;34,0;"[104,19999694824219, 114,4000015258789)";103,4;772,5;464,16
757100;M;20,5;"[73,5999984741211, 83,80000305175781)";73,4;482,5;349,09
757330;M;23,0;"[104,19999694824219, 114,4000015258789)";93,8;657,5;411,38
757713;M;24,5;"[104,19999694824219, 114,4000015258789)";103,6;582,5;349,75
757960;M;21,5;"[83,80000305175781, 94,0)";91,12;500,0;317,22
758185;F;58,5;"[53,20000076293945, 63,400001525878906)";62,2;275,0;298,22
758394;M;15,5;"[53,20000076293945, 63,400001525878906)";57,3;487,5;434,06
758410;F;17,5;"[53,20000076293945, 63,400001525878906)";61,3;435,0;477,02
758441;F;18,5;"[43,0, 53,20000076293945)";51,6;327,5;410,71
758773;F;25,5;"[63,400001525878906, 73,5999984741211)";69,9;330,0;328,62
759230;M;25,0;"[104,19999694824219, 114,4000015258789)";102,8;775,0;466,66
759275;F;47,5;"[63,400001525878906, 73,5999984741211)";68,1;320,0;324,54
759364;F;52,5;"[83,80000305175781, 94,0)";78,65;157,5;145,51
759654;F;42,5;"[53,20000076293945, 63,400001525878906)";62,49;295,0;318,78
759761;M;64,0;"[73,5999984741211, 83,80000305175781)";81,05;450,0;304,73
923612;M;40,0;"[73,5999984741211, 83,80000305175781)";75,2;590,0;419,63
923652;F;57,5;"[53,20000076293945, 63,400001525878906)";58,8;225,0;254,82
923766;F;36,5;"[53,20000076293945, 63,400001525878906)";56,4;337,5;394,89
923890;M;31,0;"[73,5999984741211, 83,80000305175781)";81,3;440,0;297,39
924012;M;23,0;"[73,5999984741211, 83,80000305175781)";82,6;752,5;503,74
924531;M;21,5;"[83,80000305175781, 94,0)";89,0;575,0;369,19
924556;M;39,0;"[73,5999984741211, 83,80000305175781)";82,7;520,0;347,85
924920;M;31,0;"[83,80000305175781, 94,0)";89,22;617,5;395,97
924950;M;22,0;"[73,5999984741211, 83,80000305175781)";73,7;540,0;389,55
925110;M;59,5;"[104,19999694824219, 114,4000015258789)";96,44;524,0;323,77
925137;F;25,5;"[63,400001525878906, 73,5999984741211)";68,56;448,0;452,2
925160;F;16,5;"[63,400001525878906, 73,5999984741211)";68,32;295,0;298,5
925293;F;27,5;"[63,400001525878906, 73,5999984741211)";63,5;382,5;408,34
925790;M;40,5;"[104,19999694824219, 114,4000015258789)";103,5;777,5;467,0
925946;M;17,5;"[73,5999984741211, 83,80000305175781)";81,0;505,0;342,1
925978;M;54,5;"[63,400001525878906, 73,5999984741211)";65,8;437,5;344,38
926114;F;18,5;"[53,20000076293945, 63,400001525878906)";61,9;317,5;345,58
926126;F;29,5;"[63,400001525878906, 73,5999984741211)";70,3;242,5;240,54
926139;F;33,5;"[43,0, 53,20000076293945)";51,9;315,0;393,27
926143;F;26,5;"[53,20000076293945, 63,400001525878906)";55,5;245,0;290,3
926336;F;37,5;"[83,80000305175781, 94,0)";79,45;305,0;280,16
926437;M;23,5;"[83,80000305175781, 94,0)";88,55;640,0;412,02
926509;F;40,0;"[63,400001525878906, 73,5999984741211)";70,2;340,0;337,58
926922;M;46,5;"[114,4000015258789, 124,5999984741211)";118,8;655,0;377,47
927553;M;31,5;"[73,5999984741211, 83,80000305175781)";79,1;662,5;455,56
927662;M;23,5;"[104,19999694824219, 114,4000015258789)";104,05;637,5;382,17
927791;M;23,5;"[73,5999984741211, 83,80000305175781)";73,75;580,0;418,21
927836;M;27,5;"[73,5999984741211, 83,80000305175781)";71,85;527,5;387,63
927900;M;18,0;"[73,5999984741211, 83,80000305175781)";71,04;460,0;340,89
927945;F;39,5;"[53,20000076293945, 63,400001525878906)";63,0;345,5;371,05
927989;M;15,5;"[73,5999984741211, 83,80000305175781)";75,78;500,0;353,74
928007;M;67,5;"[73,5999984741211, 83,80000305175781)";77,72;375,0;260,83
928128;M;24,5;"[73,5999984741211, 83,80000305175781)";77,8;612,5;425,74
928195;M;37,5;"[114,4000015258789, 124,5999984741211)";110,7;672,5;395,0
928931;M;20,5;"[114,4000015258789, 124,5999984741211)";118,5;740,0;426,71
928936;M;43,5;"[114,4000015258789, 124,5999984741211)";115,8;695,0;403,09
929139;M;59,0;"[73,5999984741211, 83,80000305175781)";73,9;432,5;311,4
929450;M;37,0;"[104,19999694824219, 114,4000015258789)";100,9;620,0;375,99
929820;F;33,5;"[53,20000076293945, 63,400001525878906)";63,0;275,0;295,34
929888;M;23,5;"[73,5999984741211, 83,80000305175781)";70,0;505,0;378,44
929911;M;20,0;"[73,5999984741211, 83,80000305175781)";73,8;652,5;470,26
930269;M;20,5;"[83,80000305175781, 94,0)";90,76;617,5;392,54
930270;M;19,5;"[83,80000305175781, 94,0)";90,42;615,0;391,69
930331;F;37,5;"[83,80000305175781, 94,0)";79,54;305,0;279,98
930343;F;23,0;"[53,20000076293945, 63,400001525878906)";54,24;270,0;325,73
930356;F;39,5;"[83,80000305175781, 94,0)";79,62;405,0;371,57
931398;M;22,5;"[73,5999984741211, 83,80000305175781)";81,65;627,5;423,0
931422;M;34,5;"[104,19999694824219, 114,4000015258789)";101,1;812,5;492,35
931423;M;43,5;"[104,19999694824219, 114,4000015258789)";103,5;800,0;480,51
931432;M;71,5;"[104,19999694824219, 114,4000015258789)";104,7;470,0;281,13
931707;M;40,0;"[104,19999694824219, 114,4000015258789)";107,9;715,0;423,34
931891;M;56,5;"[73,5999984741211, 83,80000305175781)";82,8;480,0;320,86
932149;M;39,5;"[83,80000305175781, 94,0)";89,6;642,5;411,1
932165;F;21,0;"[63,400001525878906, 73,5999984741211)";72,0;277,5;270,85
932193;M;70,0;"[73,5999984741211, 83,80000305175781)";83,0;447,5;298,71
932303;M;37,5;"[73,5999984741211, 83,80000305175781)";74,1;595,0;427,58
932431;M;72,0;"[83,80000305175781, 94,0)";83,92;442,5;293,46
932795;M;21,0;"[73,5999984741211, 83,80000305175781)";81,9;450,0;302,79
932843;M;17,0;"[73,5999984741211, 83,80000305175781)";73,98;495,0;356,13
933055;F;48,0;"[43,0, 53,20000076293945)";51,26;275,0;346,63
933067;M;30,0;"[73,5999984741211, 83,80000305175781)";71,64;395,0;290,89
933072;M;70,0;"[73,5999984741211, 83,80000305175781)";81,08;415,0;280,96
933414;F;29,0;"[53,20000076293945, 63,400001525878906)";52,45;245,0;303,4
933429;M;33,0;"[73,5999984741211, 83,80000305175781)";82,8;510,0;340,91
933435;M;18,0;"[73,5999984741211, 83,80000305175781)";67,65;410,0;315,56
933920;F;21,0;"[63,400001525878906, 73,5999984741211)";71,5;365,0;357,92
933936;M;19,0;"[83,80000305175781, 94,0)";92,76;585,0;367,94
934099;M;23,0;"[104,19999694824219, 114,4000015258789)";105,9;730,0;434,93
934292;F;60,0;"[63,400001525878906, 73,5999984741211)";71,4;225,0;220,84
934392;M;24,5;"[73,5999984741211, 83,80000305175781)";81,8;675,0;454,52
934491;M;40,0;"[83,80000305175781, 94,0)";90,5;565,0;359,68
934577;F;67,5;"[53,20000076293945, 63,400001525878906)";56,8;222,5;258,9
934831;M;37,5;"[104,19999694824219, 114,4000015258789)";103,2;605,0;363,77
934887;M;71,5;"[104,19999694824219, 114,4000015258789)";96,6;435,0;268,58
935018;M;22,5;"[104,19999694824219, 114,4000015258789)";104,0;600,0;359,75
935039;F;25,5;"[43,0, 53,20000076293945)";50,9;292,5;370,69
935299;F;21,0;"[63,400001525878906, 73,5999984741211)";70,78;370,0;365,31
935306;M;18,0;"[63,400001525878906, 73,5999984741211)";62,5;305,0;250,81
950896;M;14,5;"[43,0, 53,20000076293945)";52,5;260,0;252,6
973280;F;33,5;"[43,0, 53,20000076293945)";46,46;270,0;366,15
973283;F;22,5;"[43,0, 53,20000076293945)";50,96;346,0;438,09
973293;F;20,5;"[53,20000076293945, 63,400001525878906)";56,23;310,0;363,58
973385;M;24,5;"[83,80000305175781, 94,0)";91,95;685,0;432,66
973477;F;22,5;"[63,400001525878906, 73,5999984741211)";65,0;287,5;301,62
973744;F;43,5;"[53,20000076293945, 63,400001525878906)";62,77;380,0;409,24
974237;M;23,5;"[73,5999984741211, 83,80000305175781)";81,65;610,0;411,21
974448;M;26,5;"[83,80000305175781, 94,0)";93,0;700,0;439,73
974520;M;32,5;"[73,5999984741211, 83,80000305175781)";74,0;590,0;424,4
974521;M;22,5;"[73,5999984741211, 83,80000305175781)";73,7;567,5;409,39
974546;M;31,5;"[83,80000305175781, 94,0)";92,0;733,0;462,86
1021457;M;27,5;"[104,19999694824219, 114,4000015258789)";93,9;690,0;431,5
1021463;F;33,5;"[53,20000076293945, 63,400001525878906)";56,8;272,5;317,08
1024138;M;17,5;"[73,5999984741211, 83,80000305175781)";73,74;625,0;450,7
1024161;M;19,5;"[43,0, 53,20000076293945)";52,92;532,5;513,1
1024171;M;22,5;"[63,400001525878906, 73,5999984741211)";65,86;695,0;546,67
1024188;M;22,0;"[73,5999984741211, 83,80000305175781)";82,02;857,5;576,47
1024204;M;18,5;"[83,80000305175781, 94,0)";85,22;717,5;471,67
1024234;F;14,5;"[43,0, 53,20000076293945)";41,42;325,0;475,6
1024264;F;22,5;"[43,0, 53,20000076293945)";46,76;380,0;512,95
1024276;F;20,5;"[53,20000076293945, 63,400001525878906)";55,28;430,0;511,1
1024286;F;21,0;"[53,20000076293945, 63,400001525878906)";62,62;450,0;485,5
1024288;F;19,5;"[53,20000076293945, 63,400001525878906)";61,78;425,0;463,28
