;Sex;Age;WeightClassKg;BodyweightKg;TotalKg;Wilks
187789;F;43,0;"[73,5999984741211, 83,80000305175781)";73,6;455,0;437,75
187802;F;44,0;"[73,5999984741211, 83,80000305175781)";80,6;460,0;419,17
189704;M;47,0;"[124,5999984741211, 134,8000030517578)";124,56;740,0;421,99
189772;M;74,0;"[53,20000076293945, 63,400001525878906)";58,96;267,5;231,85
189901;M;41,0;"[53,20000076293945, 63,400001525878906)";59,9;615,0;525,32
189922;M;42,0;"[83,80000305175781, 94,0)";88,94;810,0;520,26
189958;M;36,5;"[124,5999984741211, 134,8000030517578)";122,4;912,5;522,29
189962;M;32,0;"[124,5999984741211, 134,8000030517578)";119,9;830,0;477,28
190731;M;38,0;"[83,80000305175781, 94,0)";84,9;740,0;487,5
191312;M;29,5;"[83,80000305175781, 94,0)";88,5;617,5;397,65
191620;F;15,0;"[43,0, 53,20000076293945)";44,0;262,5;369,62
191660;F;18,0;"[53,20000076293945, 63,400001525878906)";59,3;450,0;506,29
191825;M;17,0;"[53,20000076293945, 63,400001525878906)";54,85;490,0;455,3
191895;M;17,0;"[83,80000305175781, 94,0)";87,35;622,5;403,67
192457;M;45,5;"[73,5999984741211, 83,80000305175781)";82,0;605,0;406,78
192814;F;58,0;"[73,5999984741211, 83,80000305175781)";67,7;267,5;272,44
192818;F;58,0;"[73,5999984741211, 83,80000305175781)";67,7;267,5;272,44
193221;M;65,0;"[73,5999984741211, 83,80000305175781)";73,5;407,5;294,54
193283;F;42,5;"[53,20000076293945, 63,400001525878906)";57,9;305,0;349,61
193302;F;42,0;"[63,400001525878906, 73,5999984741211)";66,3;340,0;351,54
193403;M;38,5;"[73,5999984741211, 83,80000305175781)";74,9;657,5;468,94
193541;M;23,5;"[94,0, 104,19999694824219)";96,8;702,5;433,36
193627;M;54,5;"[124,5999984741211, 134,8000030517578)";124,2;672,5;383,73
194111;M;17,5;"[73,5999984741211, 83,80000305175781)";75,0;597,5;425,75
194483;M;22,0;"[124,5999984741211, 134,8000030517578)";123,7;872,5;498,26
194492;M;19,0;"[124,5999984741211, 134,8000030517578)";116,3;710,0;411,33
194513;F;42,0;"[43,0, 53,20000076293945)";51,2;427,5;539,34
194520;F;68,5;"[43,0, 53,20000076293945)";50,9;155,0;196,43
194552;F;35,0;"[63,400001525878906, 73,5999984741211)";66,6;387,5;399,34
194557;F;51,5;"[63,400001525878906, 73,5999984741211)";66,8;395,0;406,18
194569;F;41,0;"[73,5999984741211, 83,80000305175781)";73,6;382,5;368,0
194935;M;48,0;"[104,19999694824219, 114,4000015258789)";107,8;570,0;337,59
195050;M;31,0;"[73,5999984741211, 83,80000305175781)";82,5;647,5;433,76
196295;F;49,5;"[73,5999984741211, 83,80000305175781)";71,4;405,0;397,51
196603;M;20,5;"[63,400001525878906, 73,5999984741211)";65,65;522,5;412,07
196606;M;23,5;"[73,5999984741211, 83,80000305175781)";73,9;638,0;459,36
196612;M;35,0;"[73,5999984741211, 83,80000305175781)";82,0;715,0;480,74
196618;M;23,5;"[104,19999694824219, 114,4000015258789)";100,65;740,0;449,2
196681;F;37,5;"[43,0, 53,20000076293945)";51,7;277,5;347,49
196734;M;22,5;"[73,5999984741211, 83,80000305175781)";73,3;442,5;320,46
196741;M;32,5;"[73,5999984741211, 83,80000305175781)";82,08;577,5;388,06
196743;M;18,5;"[73,5999984741211, 83,80000305175781)";82,4;572,5;383,8
196786;M;30,5;"[114,4000015258789, 124,5999984741211)";116,46;640,0;370,65
196831;F;28,5;"[53,20000076293945, 63,400001525878906)";62,5;362,5;391,67
196838;M;24,5;"[73,5999984741211, 83,80000305175781)";82,68;600,0;401,42
196868;M;55,5;"[83,80000305175781, 94,0)";89,4;575,0;368,34
196870;M;37,5;"[94,0, 104,19999694824219)";99,8;677,5;412,65
197218;M;20,0;"[83,80000305175781, 94,0)";85,1;535,0;351,98
197706;F;15,5;"[83,80000305175781, 94,0)";81,5;420,0;380,43
197720;F;20,5;"[43,0, 53,20000076293945)";46,25;230,0;312,91
197846;M;49,5;"[73,5999984741211, 83,80000305175781)";82,75;533,0;356,42
197967;F;32,5;"[83,80000305175781, 94,0)";79,05;350,0;322,41
198024;F;45,0;"[63,400001525878906, 73,5999984741211)";68,5;370,0;373,7
198070;M;21,5;"[63,400001525878906, 73,5999984741211)";65,95;502,5;394,81
198489;M;21,5;"[83,80000305175781, 94,0)";89,95;687,5;439,02
198638;M;23,5;"[73,5999984741211, 83,80000305175781)";73,8;442,5;318,91
198704;F;20,5;"[43,0, 53,20000076293945)";46,7;202,5;273,6
198766;M;20,5;"[104,19999694824219, 114,4000015258789)";104,5;730,0;436,95
198920;F;21,0;"[53,20000076293945, 63,400001525878906)";62,2;320,0;347,02
199595;F;38,5;"[63,400001525878906, 73,5999984741211)";68,9;332,5;334,45
199655;M;50,0;"[63,400001525878906, 73,5999984741211)";67,4;585,0;451,58
199777;M;23,5;"[73,5999984741211, 83,80000305175781)";81,5;622,5;420,11
200001;M;21,5;"[73,5999984741211, 83,80000305175781)";82,0;492,5;331,14
200005;M;31,5;"[83,80000305175781, 94,0)";86,0;557,5;364,62
200175;M;25,5;"[83,80000305175781, 94,0)";88,4;540,0;347,95
200317;M;23,5;"[73,5999984741211, 83,80000305175781)";82,9;530,0;354,03
200409;M;41,5;"[94,0, 104,19999694824219)";98,9;560,0;342,34
200489;M;24,5;"[83,80000305175781, 94,0)";92,75;737,5;463,88
200859;M;28,5;"[63,400001525878906, 73,5999984741211)";68,75;636,0;483,3
200893;M;14,5;"[73,5999984741211, 83,80000305175781)";82,4;655,0;439,11
201169;M;47,5;"[73,5999984741211, 83,80000305175781)";80,8;460,0;312,09
201171;M;32,5;"[73,5999984741211, 83,80000305175781)";79,25;405,0;278,15
201217;M;20,5;"[83,80000305175781, 94,0)";85,85;610,0;399,34
201389;F;40,0;"[43,0, 53,20000076293945)";47,1;287,5;386,06
